Time (ms),X (mm^s-2),Y (mm^s-2),Z (mm^s-2)
7305,23.4,15.6,-1006.2
7325,15.6,0,-1029.6
7347,15.6,0,-1045.2
7366,23.4,0,-1006.2
7388,7.8,0,-1021.8
7407,0,15.6,-1053
7429,7.8,31.2,-1045.2
7449,0,23.4,-1053
7470,0,0,-1014
7497,0,23.4,-1021.8
7517,0,7.8,-1037.4
7538,0,31.2,-1037.4
7558,0,7.8,-1037.4
7579,7.8,23.4,-1029.6
7599,7.8,23.4,-998.4
7620,0,39,-998.4
7640,0,15.6,-1037.4
7661,0,31.2,-1037.4
7681,0,23.4,-1037.4
7702,15.6,0,-1029.6
7723,15.6,0,-1045.2
7743,0,0,-1029.6
7763,7.8,0,-1014
7784,0,0,-1037.4
7804,7.8,15.6,-998.4
7825,0,0,-1053
7845,0,7.8,-998.4
7865,0,15.6,-998.4
7885,7.8,15.6,-998.4
7913,7.8,46.8,-1029.6
7933,7.8,23.4,-1068.6
7954,15.6,7.8,-1021.8
7974,0,23.4,-1045.2
7997,15.6,15.6,-1037.4
8016,0,23.4,-1037.4
8036,0,0,-1060.8
8055,15.6,15.6,-1014
8077,0,0,-1045.2
8096,31.2,7.8,-1014
8118,7.8,23.4,-1021.8
8137,0,0,-1037.4
8159,23.4,7.8,-1029.6
8178,23.4,0,-1029.6
8200,0,46.8,-1045.2
8219,7.8,0,-1029.6
8241,15.6,23.4,-998.4
8271,0,23.4,-1037.4
8297,15.6,7.8,-1021.8
8317,0,7.8,-1006.2
8344,15.6,0,-1014
8365,23.4,7.8,-998.4
8385,23.4,0,-1014
8406,15.6,0,-998.4
8426,0,0,-1029.6
8446,0,23.4,-998.4
8467,0,0,-998.4
8487,23.4,0,-1045.2
8508,23.4,0,-998.4
8528,0,0,-998.4
8548,0,15.6,-1037.4
8569,15.6,0,-1029.6
8590,0,15.6,-1014
8610,0,0,-1037.4
8630,46.8,0,-1029.6
8651,23.4,0,-1006.2
8672,7.8,0,-998.4
8692,0,15.6,-998.4
8713,0,7.8,-998.4
8733,0,23.4,-1021.8
8760,23.4,15.6,-998.4
8782,7.8,46.8,-998.4
8801,0,0,-1021.8
8858,15.6,7.8,-1029.6
8878,0,23.4,-1037.4
8899,23.4,0,-1021.8
8919,15.6,0,-1029.6
8940,0,31.2,-998.4
8960,0,23.4,-1060.8
8982,23.4,15.6,-998.4
9001,0,7.8,-1053
9023,0,0,-1037.4
9042,0,23.4,-1053
9064,23.4,0,-1006.2
9083,0,0,-1014
9105,0,0,-1029.6
9124,0,0,-1037.4
9145,0,0,-1037.4
9165,0,7.8,-1037.4
9186,23.4,15.6,-1029.6
9213,0,7.8,-998.4
9234,23.4,15.6,-1029.6
9255,23.4,0,-1029.6
9275,7.8,15.6,-982.8
9296,0,7.8,-998.4
9316,0,0,-1045.2
9337,0,0,-998.4
9357,31.2,0,-1029.6
9378,0,0,-1014
9398,7.8,0,-998.4
9418,0,0,-998.4
9439,23.4,31.2,-998.4
9460,0,7.8,-1060.8
9480,7.8,0,-1029.6
9501,0,15.6,-1021.8
9521,0,0,-1045.2
9542,0,23.4,-1021.8
9562,0,0,-998.4
9583,23.4,0,-1014
9603,0,0,-1045.2
9623,0,0,-1014
9650,23.4,0,-1037.4
9671,0,31.2,-1037.4
9691,15.6,0,-975
9712,15.6,0,-1045.2
9732,0,15.6,-1037.4
9754,0,7.8,-1076.4
9773,23.4,23.4,-1045.2
9795,0,23.4,-1053
9815,23.4,0,-1029.6
9836,0,15.6,-998.4
9856,23.4,0,-1014
9877,0,0,-1053
9896,0,0,-1060.8
9918,0,0,-1021.8
9937,7.8,15.6,-998.4
9959,0,7.8,-1045.2
9978,7.8,15.6,-1006.2
10000,0,0,-1029.6
10019,0,15.6,-1014
10041,15.6,0,-1037.4
10067,31.2,15.6,-1029.6
10088,0,7.8,-1053
10108,0,15.6,-1037.4
10128,0,23.4,-1060.8
10149,23.4,0,-998.4
10169,46.8,0,-1045.2
10190,15.6,0,-1014
10210,23.4,23.4,-998.4
10231,0,0,-1045.2
10251,0,0,-1045.2
10271,7.8,31.2,-1014
10291,15.6,0,-1029.6
10312,0,0,-1029.6
10332,23.4,0,-998.4
10352,0,7.8,-1060.8
10372,15.6,0,-1021.8
10393,23.4,0,-1021.8
10413,0,15.6,-1014
10433,15.6,0,-1021.8
10459,0,46.8,-1037.4
10481,23.4,0,-1014
10537,0,0,-1053
10558,0,23.4,-998.4
10577,7.8,7.8,-1014
10599,0,7.8,-1021.8
10618,0,0,-1045.2
10639,23.4,0,-1021.8
10659,0,0,-1053
10683,0,7.8,-1037.4
10702,0,15.6,-998.4
10722,23.4,0,-998.4
10741,0,0,-1029.6
10762,23.4,0,-998.4
10781,0,23.4,-998.4
10803,0,23.4,-1060.8
10822,7.8,15.6,-998.4
10843,0,7.8,-1053
10863,46.8,0,-1006.2
10890,0,0,-1037.4
10924,0,7.8,-1053
10944,0,0,-1053
10964,23.4,0,-998.4
10985,0,31.2,-998.4
11005,7.8,7.8,-998.4
11026,0,0,-998.4
11046,23.4,54.6,-1037.4
11067,0,23.4,-1029.6
11087,31.2,7.8,-998.4
11108,31.2,0,-998.4
11129,7.8,0,-1014
11149,0,7.8,-1021.8
11170,15.6,0,-1045.2
11190,0,0,-1006.2
11210,0,0,-1014
11231,0,0,-1037.4
11251,15.6,0,-1029.6
11271,0,0,-1029.6
11292,7.8,0,-1006.2
11318,0,0,-1014
11340,0,46.8,-1037.4
11359,7.8,0,-1060.8
11381,7.8,0,-998.4
11400,0,0,-1014
11422,0,0,-998.4
11441,31.2,0,-1037.4
11462,7.8,7.8,-1014
11482,0,7.8,-1037.4
11504,0,0,-1068.6
11523,7.8,31.2,-1014
11545,0,15.6,-1037.4
11564,0,7.8,-1014
11586,0,0,-998.4
11605,0,15.6,-1060.8
11627,15.6,0,-1029.6
11646,0,7.8,-1053
11668,0,0,-1021.8
11687,0,23.4,-1045.2
11709,23.4,0,-1029.6
11725,23.4,0,-1029.6
11747,0,23.4,-1037.4
11767,7.8,0,-998.4
11788,7.8,0,-998.4
11808,0,0,-1045.2
11829,7.8,0,-1029.6
11849,7.8,31.2,-998.4
11870,0,0,-1053
11890,0,23.4,-1021.8
11911,0,0,-1045.2
11931,0,15.6,-1037.4
11952,0,7.8,-1060.8
11972,15.6,0,-998.4
11994,0,0,-1053
12013,23.4,0,-1006.2
12035,0,0,-1037.4
12054,15.6,0,-1029.6
12076,0,7.8,-1014
12095,23.4,23.4,-998.4
12123,46.8,0,-998.4
12144,15.6,0,-1006.2
12164,0,15.6,-1021.8
12221,15.6,0,-1060.8
12241,7.8,0,-1045.2
12262,0,0,-1029.6
12282,0,23.4,-1068.6
12303,7.8,7.8,-1021.8
12323,15.6,7.8,-1021.8
12344,23.4,54.6,-1068.6
12365,0,15.6,-1029.6
12386,7.8,0,-1029.6
12406,7.8,0,-1045.2
12427,15.6,0,-1014
12447,0,0,-1060.8
12468,0,23.4,-1037.4
12488,46.8,7.8,-1021.8
12509,15.6,31.2,-1037.4
12529,0,0,-967.2
12557,-54.6,23.4,-998.4
12576,0,-124.8,-1014
12598,54.6,-62.4,-889.2
12618,15.6,117,-1224.6
12640,0,62.4,-1458.6
12659,0,0,-1365
12680,54.6,-78,-1466.4
12700,249.6,-140.4,-1396.2
12722,296.4,-156,-1443
12742,257.4,-187.2,-1388.4
12763,148.2,0,-1435.2
12783,187.2,109.2,-1271.4
12805,241.8,195,-1138.8
12824,280.8,187.2,-1092
12846,288.6,156,-912.6
12866,335.4,124.8,-811.2
12888,335.4,31.2,-748.8
12907,351,31.2,-631.8
12935,397.8,15.6,-608.4
12956,421.2,124.8,-553.8
12977,468,163.8,-577.2
12998,585,93.6,-507
13018,600.6,85.8,-538.2
13039,655.2,78,-530.4
13060,709.8,70.2,-514.8
13080,741,62.4,-522.6
13101,748.8,-39,-522.6
13122,803.4,0,-483.6
13142,865.8,31.2,-483.6
13163,904.8,124.8,-491.4
13184,858,0,-444.6
13204,850.2,-109.2,-475.8
13225,889.2,-187.2,-390
13246,819,-163.8,-366.6
13266,889.2,0,-335.4
13287,897,-46.8,-382.2
13313,897,0,-288.6
13336,928.2,93.6,-195
13355,936,85.8,-163.8
13375,951.6,0,-156
13395,1014,0,-148.2
13416,1014,15.6,-124.8
13436,998.4,62.4,-124.8
13457,967.2,54.6,-124.8
13477,982.8,0,-124.8
13499,975,0,-117
13529,990.6,-39,-202.8
13555,998.4,0,-132.6
13575,998.4,0,-124.8
13596,998.4,7.8,-101.4
13616,1029.6,70.2,-163.8
13638,998.4,85.8,-163.8
13657,1006.2,54.6,-70.2
13679,1021.8,0,-54.6
13706,1014,0,-101.4
13726,998.4,0,-124.8
13747,1006.2,15.6,-101.4
13768,1552.2,-62.4,-179.4
13789,975,93.6,0
13809,990.6,23.4,-109.2
13830,967.2,0,-117
13850,998.4,0,-148.2
13871,1006.2,15.6,-109.2
13926,998.4,0,-101.4
13947,1014,46.8,-109.2
13968,990.6,7.8,-117
13989,998.4,0,-85.8
14009,998.4,23.4,-93.6
14030,1014,39,-70.2
14050,1021.8,7.8,-124.8
14071,1006.2,15.6,-78
14092,998.4,0,-70.2
14113,998.4,0,-93.6
14139,998.4,15.6,-70.2
14161,1037.4,0,-46.8
14181,998.4,0,-117
14202,990.6,0,-124.8
14222,1021.8,15.6,-85.8
14244,998.4,46.8,-101.4
14263,998.4,31.2,-85.8
14285,998.4,15.6,-70.2
14305,998.4,15.6,-70.2
14327,1006.2,0,-93.6
14346,998.4,0,-117
14368,982.8,0,-85.8
14387,998.4,0,-78
14409,1021.8,0,-62.4
14429,998.4,0,-93.6
14450,1045.2,0,-93.6
14470,998.4,31.2,-70.2
14492,1021.8,0,0
14511,998.4,0,-70.2
14539,990.6,0,-93.6
