Time (ms),X (mm^s-2),Y (mm^s-2),Z (mm^s-2)
11670,1216.80,-1801.80,2519.40
11691,-998.40,3432.00,-101.40
11712,2051.40,-514.80,-3291.60
11733,1864.20,5428.80,483.60
11754,-2137.20,-3049.80,1497.60
11774,-327.60,-1185.60,-2043.60
11795,577.20,873.60,-4516.20
11816,-1450.80,4648.80,3244.80
11837,249.60,709.80,-1739.40
11858,-327.60,2067.00,2995.20
11879,585.00,4750.20,-1271.40
11900,1583.40,-585.00,-1060.80
11921,62.40,1255.80,-5046.60
11942,1458.60,-85.80,-819.00
11962,-132.60,7449.00,-1209.00
11983,-124.80,4009.20,-343.20
12010,514.80,748.80,936.00
12032,741.00,-2340.00,1575.60
12052,-436.80,-3166.80,1942.20
12074,210.60,1996.80,1333.80
12094,920.40,140.40,-4056.00
12116,335.40,2956.20,2394.60
12135,-1131.00,-1630.20,-819.00
12157,117.00,7800.00,2184.00
12177,-1326.00,-1404.00,756.60
12199,702.00,2246.40,-6856.20
12219,-1349.40,4290.00,1115.40
12241,-631.80,1310.40,3525.60
12261,702.00,1747.20,-4251.00
12283,-1755.00,-1848.60,3767.40
12303,889.20,592.80,1115.40
12325,23.40,3229.20,-2823.60
12345,-2098.20,-1177.80,2831.40
12373,928.20,4555.20,-3400.80
12394,-249.60,-2605.20,3260.40
12415,-1107.60,3003.00,3081.00
12436,85.80,327.60,1341.60
12456,-1809.60,226.20,6403.80
12477,2059.20,2051.40,-6832.80
12498,-2090.40,-1996.80,6162.00
12519,-351.00,-1435.20,-1653.60
12540,-1248.00,23.40,2893.80
12596,-483.60,140.40,3432.00
12617,366.60,-1365.00,5226.00
12638,1583.40,4071.60,-4812.60
12659,-101.40,5413.20,2425.80
12680,1209.00,-2269.80,1957.80
12701,-655.20,-187.20,4828.20
12722,-390.00,312.00,421.20
12748,-390.00,-171.60,2776.80
12770,-748.80,3572.40,2995.20
12790,-748.80,1544.40,585.00
12812,1068.60,-1396.20,-1942.20
12832,-85.80,1466.40,-748.80
12854,998.40,2355.60,1099.80
12874,-608.40,3650.40,-1692.60
12896,-920.40,4017.00,1162.20
12916,327.60,3619.20,1996.80
12937,31.20,3229.20,-561.60
12957,-850.20,928.20,1957.80
12979,-319.80,-366.60,226.20
12999,-444.60,2043.60,1536.60
13021,-772.20,1521.00,1622.40
13041,928.20,-741.00,-1092.00
13063,616.20,1497.60,-1123.20
13082,46.80,4274.40,-1045.20
13110,-468.00,3073.20,826.80
13131,-631.80,561.60,1864.20
13152,-70.20,2269.80,-850.20
13173,834.60,1630.20,-2137.20
13193,273.00,959.40,-2823.60
13214,429.00,93.60,-1068.60
13235,-530.40,499.20,-1443.00
13256,327.60,3057.60,-1996.80
